order-id;order-item-id;purchase-date;payments-date;buyer-email;buyer-name;cpf;buyer-phone-number;sku;upc;product-name;quantity-purchased;currency;item-price;ship-service-level;ship-address-1;ship-address-2;ship-address-3;ship-city;ship-state;ship-postal-code;ship-country
2209;1;2024-05-14;2024-05-15;smith@example.com;Smith Johnson;156.224.020-00;4567890123;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;3;USD;9.99;Express Shipping;PacMan St, 544;;;Florida;CA;67890;USA
2209;2;2024-05-14;2024-05-15;smith@example.com;Smith Johnson;156.224.020-00;4567890123;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;1;USD;29.99;Express Shipping;PacMan St, 544;;;Florida;CA;67890;USA
2209;3;2024-05-14;2024-05-15;smith@example.com;Smith Johnson;156.224.020-00;4567890123;SKU123;123456789012;Camisa branca social M;2;USD;19.99;Express Shipping;PacMan St, 544;;;Florida;CA;67890;USA
9802;1;2024-05-15;2024-05-16;annasmith@example.com;Anna Smith;745.793.450-29;1357924680;SKU123;123456789012;Camisa branca social M;1;USD;19.99;Standard Shipping;BigEgg Avenue, 44;;;Ney Jersey;NJ;33522;USA
9802;2;2024-05-15;2024-05-16;annasmith@example.com;Anna Smith;745.793.450-29;1357924680;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;2;USD;9.99;Standard Shipping;BigEgg Avenue, 44;;;Ney Jersey;NJ;33522;USA
9802;3;2024-05-15;2024-05-16;annasmith@example.com;Anna Smith;745.793.450-29;1357924680;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;1;USD;29.99;Standard Shipping;BigEgg Avenue, 44;;;Ney Jersey;NJ;33522;USA
3358;1;2024-05-16;2024-05-17;peterdoe@example.com;Peter Doe;246.801.357-00;2468013579;SKU123;123456789012;Camisa branca social M;2;BRL;19.99;Standard Shipping;Rua Cardoso de Moraes, 26;;;Rio de Janeiro;RJ;20555-010;BR
3358;2;2024-05-16;2024-05-17;peterdoe@example.com;Peter Doe;246.801.357-00;2468013579;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;1;BRL;9.99;Standard Shipping;Rua Cardoso de Moraes, 26;;;Rio de Janeiro;RJ;20555-010;BR
3358;3;2024-05-16;2024-05-17;peterdoe@example.com;Peter Doe;246.801.357-00;2468013579;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;3;BRL;29.99;Standard Shipping;Rua Cardoso de Moraes, 26;;;Rio de Janeiro;RJ;20555-010;BR
8203;1;2024-05-17;2024-05-18;carljohnson@example.com;Carl Johnson;885.469.620-06;3579135790;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;1;BRL;9.99;Standard Shipping;Travessa Joao Leite Junior, 177;;;Minas Gerais;MG;22366-700;BR
8203;2;2024-05-17;2024-05-18;carljohnson@example.com;Carl Johnson;885.469.620-06;3579135790;SKU123;123456789012;Camisa branca social M;2;BRL;19.99;Standard Shipping;Travessa Joao Leite Junior, 177;;;Minas Gerais;MG;22366-700;BR
8203;3;2024-05-17;2024-05-18;carljohnson@example.com;Carl Johnson;885.469.620-06;3579135790;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;1;BRL;29.99;Standard Shipping;Travessa Joao Leite Junior, 177;;;Minas Gerais;MG;22366-700;BR
9855;1;2024-05-18;2024-05-19;happytina@example.com;Tina Miller;573.382.250-36;1234567890;SKU789;654321987654;Tenis Nike Unlimited Branco, 39;3;BRL;9.99;Express Shipping;Rua Farmas, 12;;;Paraiba;PB;21558-444;BR
9855;2;2024-05-18;2024-05-19;happytina@example.com;Tina Miller;573.382.250-36;1234567890;SKU456;987654321098;Calca Jeans USTOP 2024 tamanho 55;1;BRL;29.99;Express Shipping;Rua Farmas, 12;;;Paraiba;PB;21558-444;BR
9855;3;2024-05-18;2024-05-19;happytina@example.com;Tina Miller;573.382.250-36;1234567890;SKU123;123456789012;Camisa branca social M;2;BRL;19.99;Express Shipping;Rua Farmas, 12;;;Paraiba;PB;21558-444;BR
